source_slug,drive_zip_name,drive_file_id,expected_size_bytes
vietfood67,VietFood67.ZIP,1RNHo2uKBmhvKuB3TTZtspdZC4W1Ti5Lu,26200000000
food_detection_bobotnhan,Food-Detection-bobotnhan.v7i.yolov11.zip,1SK_qYmJEF0WT0_eSG0y7LfDx3JEpocJW,
food_prethesis,Food.v6i.yolov11.zip,1e_WF-2Bc8k-LGvKDQlEn0al5ntsxJgM6,3401936277
food_ai_tong_hop,Food_AI_Tong_Hop.v1-banh_mi.yolov11.zip,1Z6ymrZeHxa3_Pz8oa3l47qwm9mwWULxf,
banh_dan_gian_mien_tay,Banh dan gian mien Tay.v5i.yolov11.zip,1bdzH6HS5JR4-BCbnsm4gGJNZq1GrFnxl,
banh_dan_gian_nb,banh-dan-gian-nb.v1i.yolov11.zip,1DQXAL1ibrr4r9HVFhVORy3fPrM-0-Gx6,
canteen_menu,canteen_menu.v4i.yolov11.zip,1_Qim7MYXo6X7mq7xa7C774Z_5ioFAUIz,
food_prethesis_v3,Food.v3i.yolov11.zip,1-z4t4AmgEo2PpyN3Yz9AXQbJ76tE_C3l,
food_items,Food Items.v11i.yolov11.zip,1rJhvnSJ7TC5zUJe4NpVdlAZ1piERsPoh,
rawdata_my_khanh,RawData.v12i.yolov11.zip,1bhPbXeSh-mCRrwu-wPyO2uRaz7lih8NW,469250009
vietnamese_food_calories,vietnamese-food-calories.v1i.yolov11.zip,1IBb8KxVYQhfD-gPoe50vqBFz7GYk7mZi,
food_union_fruit_old,17_food_union_fruit.zip,1WlL_MCrHmlVX-J7_XPHOFHoSGRPUEfOw,
food_detection_xt7yz,16_food_detection_xt7yz.zip,1PpZD_q4pBHpnbMPWUK4kAWVVsYccMrw5,
npg_project,15_npg_project.zip,1DOP-4YResDIqpfW7vvJ7Vf33ADzrgjj2,426220947
thai_food,12_thai_food.zip,1wfTdENH2orWUiiut0S6p0VaI0c2lh_3R,627652162
food_detection_64,10_food_detection_64.zip,1GGEDnK6twQQ5GK2ZqyYZBrLHG0TtCR1M,1246394840
food_detection_3_old,11_food_detection_3.zip,12lgShz_bJzqvU-SlttSZAwAIV1MmmzvE,
uecfood256,07_uecfood256.zip,1-rIeVA3TWm57xTwJ0biHoFWVuRbdWFd_,3987792930
fish,06_fish.zip,1yjWDoXf3npA_vl0xm2UPhTFtYxMrkUUS,
vegetable_detection,05_vegetable_detection.zip,1VbdO7gYgC5SyrKGk2HOHd4J87YTcxg5_,503901287
food_kcmrd,04_food_kcmrd.zip,1YetVBT2Pf_Lh3_ItwXJILakQjcD-XDB4,624980152
vietnamese_food_5,03_vietnamese_food_5.zip,1SbLsG6CAZtzuTb9O0Rpmk3lUC28Sdz9D,
food_data_truongvo,01_food_data_vn.zip.zip,1CE-3DZsccprHr46aMoD_HljErMBO2WoC,26192706122
